Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,blank    3/16/2021 2:44:24 PM    (Run: 1),,,,,,,,
1116502,23330.000,45460.000,670.000,5522.000,216.000,351500.000,509100.000,0.000,6.000
1120548,23090.000,45540.000,640.000,5448.000,242.000,352500.000,500900.000,0.000,16.000
1124593,22730.000,45630.000,700.000,5524.000,214.000,359400.000,504300.000,0.000,12.000
1128638,22870.000,44810.000,678.000,5496.000,204.000,355500.000,510700.000,0.000,12.000
1132684,22640.000,45440.000,686.000,5390.000,210.000,356700.000,500100.000,0.000,14.000
1136729,22360.000,44960.000,644.000,5318.000,218.000,352000.000,515000.000,0.000,12.000
1140774,21840.000,45830.000,622.000,5580.000,220.000,356900.000,506100.000,0.000,12.000
1144819,21770.000,44690.000,672.000,5412.000,238.000,359000.000,507000.000,0.000,10.000
1148865,22200.000,44510.000,628.000,5482.000,214.000,360300.000,507500.000,0.000,8.000
1152910,22020.000,44940.000,662.000,5478.000,208.000,356400.000,513300.000,0.000,4.000
1156955,22030.000,45170.000,674.000,5564.000,224.000,353700.000,514600.000,0.000,8.000
1161001,22100.000,45310.000,624.000,5520.000,244.000,352900.000,511200.000,0.000,12.000
1165046,22190.000,45800.000,662.000,5414.000,210.000,353100.000,504500.000,0.000,10.000
1169091,22010.000,45390.000,612.000,5304.000,248.000,362700.000,512100.000,0.000,6.000
1173137,21590.000,44890.000,602.000,5516.000,254.000,348500.000,506100.000,0.000,6.000
1177182,21930.000,45620.000,688.000,5548.000,228.000,348300.000,506200.000,0.000,8.000
1181227,22060.000,45120.000,650.000,5442.000,222.000,357800.000,515600.000,0.000,12.000
1185272,21150.000,44850.000,666.000,5484.000,216.000,352500.000,507400.000,0.000,6.000
1189318,21600.000,44690.000,692.000,5538.000,246.000,357800.000,508900.000,0.000,8.000
1193363,21470.000,45080.000,752.000,5588.000,250.000,351900.000,504600.000,0.000,12.000
1197408,21990.000,46390.000,662.000,5508.000,250.000,354900.000,505900.000,0.000,20.000
1201454,21460.000,45080.000,672.000,5524.000,220.000,356000.000,508500.000,0.000,10.000
1205499,21510.000,44390.000,684.000,5644.000,236.000,354900.000,504500.000,0.000,14.000
1209544,21280.000,44350.000,684.000,5556.000,242.000,352700.000,510900.000,0.000,10.000
1213590,21630.000,45460.000,598.000,5572.000,252.000,353600.000,501000.000,0.000,14.000
1217635,21450.000,45270.000,610.000,5608.000,218.000,350700.000,503100.000,0.000,4.000
1221680,21000.000,44720.000,770.000,5630.000,252.000,353000.000,509000.000,0.000,12.000
1225725,21150.000,44730.000,640.000,5820.000,256.000,356300.000,502000.000,0.000,14.000
1229771,21390.000,45790.000,666.000,5658.000,204.000,351800.000,507800.000,0.000,8.000
